line_description,spend_amount,gl_description,invoice_date,creation_date,company,cost_center,memo,canonical_supplier_name,classification_path,classification_l1,classification_l2,classification_l3,classification_status,classification_reasoning
uniforms,742.84,6350:other expenses,2022-07-10,2022-07-12,"le0020 orlando family physicians, llc",corporate_ofp71,uniforms,uniform outfitters,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"Transaction 1 involves the purchase of uniforms from a supplier specializing in uniforms for healthcare professionals, aligning with the 'uniforms' category under MRO supplies. Transaction 2 has a spend amount of 0.0, indicating it may not represent an actual purchase but rather an adjustment or accounting entry, thus classified as non-sourceable."
uniforms,0.0,2100:accounts payable,2022-07-10,2022-07-12,"le0020 orlando family physicians, llc",[blank],uniforms,uniform outfitters,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"Transaction 1 involves the purchase of uniforms from a supplier specializing in uniforms for healthcare professionals, aligning with the 'uniforms' category under MRO supplies. Transaction 2 has a spend amount of 0.0, indicating it may not represent an actual purchase but rather an adjustment or accounting entry, thus classified as non-sourceable."
"shop4mailers 10 x 13 glossy white plastic self seal poly mailer flat bags waterproof shipping envelope 1.7 mil for apparel,",13.9,6325:office supplies,2022-06-11,2022-06-01,"le0053 trinity medical physicians services, llc",clinics operations & support_trinity,"shop4mailers 10 x 13 glossy white plastic self seal poly mailer flat bags waterproof shipping envelope 1.7 mil for apparel,",amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
"shop4mailers 10 x 13 glossy white plastic self seal poly mailer flat bags waterproof shipping envelope 1.7 mil for apparel,",0.0,2100:accounts payable,2022-06-11,2022-06-01,"le0053 trinity medical physicians services, llc",[blank],"shop4mailers 10 x 13 glossy white plastic self seal poly mailer flat bags waterproof shipping envelope 1.7 mil for apparel,",amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
oxygen usp e,116.68,6575:rental equipment & car rental,2023-01-03,2023-01-05,"le0026 nowell physician group, llc",clinics operations & support_ofp77,oxygen usp e,american welding & gas inc,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"Transaction 1 involves the purchase of oxygen, which is a medical gas used in patient care, aligning with the clinical supplies category. Transaction 2 has a spend amount of 0.0, indicating it may not represent an actual purchase but rather an accounting entry, thus classified as non-sourceable."
oxygen usp e,0.0,2100:accounts payable,2023-01-03,2023-01-05,"le0026 nowell physician group, llc",[blank],oxygen usp e,american welding & gas inc,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"Transaction 1 involves the purchase of oxygen, which is a medical gas used in patient care, aligning with the clinical supplies category. Transaction 2 has a spend amount of 0.0, indicating it may not represent an actual purchase but rather an accounting entry, thus classified as non-sourceable."
silvia del aguila - office supplies - 6900 tavistock lakes blvd,0.0,2100:accounts payable,2023-03-24,2023-03-27,"le0020 orlando family physicians, llc",[blank],silvia del aguila - office supplies - 6900 tavistock lakes blvd,staples contract and commercial llc,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"All transactions are from Staples Contract & Commercial LLC, which specializes in office supplies. The descriptions and supplier offerings align with the Office Supplies category in the taxonomy."
silvia del aguila - office supplies - 6900 tavistock lakes blvd,112.29,6325:office supplies,2023-03-24,2023-03-27,"le0020 orlando family physicians, llc",corporate_ofp71,silvia del aguila - office supplies - 6900 tavistock lakes blvd,staples contract and commercial llc,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"All transactions are from Staples Contract & Commercial LLC, which specializes in office supplies. The descriptions and supplier offerings align with the Office Supplies category in the taxonomy."
job number 4916- provide and install a 6” x 8’ yellow steel “bollard tube” and set in the ground where the current sign is then mounting that post / sign assembly in it with concrete,0.0,2100:accounts payable,2023-03-28,2023-03-31,"le0040 nowell 2 physician group, llc",[blank],job number 4916- provide and install a 6” x 8’ yellow steel “bollard tube” and set in the ground where the current sign is then mounting that post / sign assembly in it with concrete,dynamic aspects inc,non clinical|facilities management and maintenance services|facilities maintenance services other,non clinical,facilities management and maintenance services,facilities maintenance services other,classified_by_ai,"The transaction involves the installation of a bollard tube, which falls under general maintenance and facility improvement activities. The supplier, Dynamic Resources Inc, provides services related to installation and maintenance, aligning with the facilities maintenance services category."
trinity medical group - retainer - jun 2022,0.0,2100:accounts payable,2022-07-01,2022-07-19,"le0053 trinity medical physicians services, llc",[blank],trinity medical group - retainer - jun 2022,wow mktg,non clinical|marketing & print|agency fees,non clinical,marketing & print,agency fees,classified_by_ai,"All transactions are associated with WOW MKTG, a marketing agency providing services related to advertising and media campaigns. The descriptions and spend amounts align with the agency fees category, which encompasses marketing services provided by agencies."
trinity medical group - retainer - jun 2022,10000.0,6000:advertising,2022-07-01,2022-07-19,"le0053 trinity medical physicians services, llc",clinics operations & support_trinity,trinity medical group - retainer - jun 2022,wow mktg,non clinical|marketing & print|agency fees,non clinical,marketing & print,agency fees,classified_by_ai,"All transactions are associated with WOW MKTG, a marketing agency providing services related to advertising and media campaigns. The descriptions and spend amounts align with the agency fees category, which encompasses marketing services provided by agencies."
5/30-6/26  2022 media,0.0,2100:accounts payable,2022-07-01,2022-07-19,"le0053 trinity medical physicians services, llc",[blank],5/30-6/26  2022 media,wow mktg,non clinical|marketing & print|agency fees,non clinical,marketing & print,agency fees,classified_by_ai,"All transactions are associated with WOW MKTG, a marketing agency providing services related to advertising and media campaigns. The descriptions and spend amounts align with the agency fees category, which encompasses marketing services provided by agencies."
5/30-6/26  2022 media,9801.18,6000:advertising,2022-07-01,2022-07-19,"le0053 trinity medical physicians services, llc",clinics operations & support_trinity,5/30-6/26  2022 media,wow mktg,non clinical|marketing & print|agency fees,non clinical,marketing & print,agency fees,classified_by_ai,"All transactions are associated with WOW MKTG, a marketing agency providing services related to advertising and media campaigns. The descriptions and spend amounts align with the agency fees category, which encompasses marketing services provided by agencies."
mar23- le0092 /265 w. highway 50,2022.3,6750:temporary services,2023-03-01,2023-03-03,"le0092 urban health physicians, llc",clinics operations & support urban health,mar23- le0092 /265 w. highway 50,"coverall north america, inc.",non clinical|facilities management and maintenance services|janitorial & cleaning services,non clinical,facilities management and maintenance services,janitorial & cleaning services,classified_by_ai,"Coverall North America, Inc. provides commercial cleaning services, which aligns with the janitorial and cleaning services category. The transaction context indicates a cleaning service for a healthcare facility, supporting the classification."
mar23- le0092 /265 w. highway 50,0.0,2100:accounts payable,2023-03-01,2023-03-03,"le0092 urban health physicians, llc",[blank],mar23- le0092 /265 w. highway 50,"coverall north america, inc.",non clinical|facilities management and maintenance services|janitorial & cleaning services,non clinical,facilities management and maintenance services,janitorial & cleaning services,classified_by_ai,"Coverall North America, Inc. provides commercial cleaning services, which aligns with the janitorial and cleaning services category. The transaction context indicates a cleaning service for a healthcare facility, supporting the classification."
mips/pcf 2022 project assistance,131.25,6450:professional fees,2022-03-28,2022-04-04,"le0096 family care partners of northeast florida, llc",billing & coding,mips/pcf 2022 project assistance,caliber rcm,non clinical|professional services|revenue cycle management (rcm) services,non clinical,professional services,revenue cycle management (rcm) services,classified_by_ai,"The supplier, Caliber RCM, specializes in Revenue Cycle Management solutions, which aligns with the classification for revenue cycle management services. The line descriptions indicate project assistance and retainers related to RCM, supporting this classification. The zero amounts in some transactions suggest they may be adjustments or related to accounts payable, thus classified as non-sourceable."
mips/pcf 2022 project assistance,0.0,2100:accounts payable,2022-03-28,2022-04-04,"le0096 family care partners of northeast florida, llc",[blank],mips/pcf 2022 project assistance,caliber rcm,non clinical|professional services|revenue cycle management (rcm) services,non clinical,professional services,revenue cycle management (rcm) services,classified_by_ai,"The supplier, Caliber RCM, specializes in Revenue Cycle Management solutions, which aligns with the classification for revenue cycle management services. The line descriptions indicate project assistance and retainers related to RCM, supporting this classification. The zero amounts in some transactions suggest they may be adjustments or related to accounts payable, thus classified as non-sourceable."
april retainer,15000.0,6450:professional fees,2022-03-28,2022-04-04,"le0096 family care partners of northeast florida, llc",billing & coding,april retainer,caliber rcm,non clinical|professional services|revenue cycle management (rcm) services,non clinical,professional services,revenue cycle management (rcm) services,classified_by_ai,"The supplier, Caliber RCM, specializes in Revenue Cycle Management solutions, which aligns with the classification for revenue cycle management services. The line descriptions indicate project assistance and retainers related to RCM, supporting this classification. The zero amounts in some transactions suggest they may be adjustments or related to accounts payable, thus classified as non-sourceable."
april retainer,0.0,2100:accounts payable,2022-03-28,2022-04-04,"le0096 family care partners of northeast florida, llc",[blank],april retainer,caliber rcm,non clinical|professional services|revenue cycle management (rcm) services,non clinical,professional services,revenue cycle management (rcm) services,classified_by_ai,"The supplier, Caliber RCM, specializes in Revenue Cycle Management solutions, which aligns with the classification for revenue cycle management services. The line descriptions indicate project assistance and retainers related to RCM, supporting this classification. The zero amounts in some transactions suggest they may be adjustments or related to accounts payable, thus classified as non-sourceable."
office supplies,0.0,2100:accounts payable,2022-09-15,2022-09-16,"le0092 urban health physicians, llc",[blank],tred reman hp 952 cmy ink 3pk,staples contract and commercial llc,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"All transactions are from Staples Contract & Commercial LLC, which specializes in office supplies. The descriptions and supplier offerings align with the Office Supplies category in the taxonomy."
office supplies,129.98,6325:office supplies,2022-09-15,2022-09-16,"le0092 urban health physicians, llc",clinics operations & support urban health,tred reman hp 952 cmy ink 3pk,staples contract and commercial llc,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"All transactions are from Staples Contract & Commercial LLC, which specializes in office supplies. The descriptions and supplier offerings align with the Office Supplies category in the taxonomy."
dexamethasone,92.16,5501:cost of services related to medical cost,2022-04-13,2022-04-20,"le0024 bvl physician group, llc",clinical services_ofp75,dexamethasone,mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
dexamethasone,0.0,2100:accounts payable,2022-04-13,2022-04-20,"le0024 bvl physician group, llc",[blank],dexamethasone,mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
dexamethasone,184.32,5501:cost of services related to medical cost,2022-04-13,2022-04-20,"le0024 bvl physician group, llc",clinical services_ofp75,dexamethasone,mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
dexamethasone,0.0,2100:accounts payable,2022-04-13,2022-04-20,"le0024 bvl physician group, llc",[blank],dexamethasone,mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
usps forever postage stamps flags 100 count (seasons,68.19,6325:office supplies,2022-06-29,2022-06-30,"le0032 debary physician group, llc",clinics operations & support_ofp83,usps forever postage stamps flags 100 count (seasons,amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
usps forever postage stamps flags 100 count (seasons,0.0,2100:accounts payable,2022-06-29,2022-06-30,"le0032 debary physician group, llc",[blank],usps forever postage stamps flags 100 count (seasons,amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
kn95 mask (600 pack),0.0,2100:accounts payable,2022-06-29,2022-06-30,"le0032 debary physician group, llc",[blank],kn95 mask (600 pack),amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
kn95 mask (600 pack),155.28,6325:office supplies,2022-06-29,2022-06-30,"le0032 debary physician group, llc",clinics operations & support_ofp83,kn95 mask (600 pack),amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
"monofilament test, sensory - anglin",0.0,2100:accounts payable,2022-09-13,2022-09-21,"le0050 innovacare central florida physicians, llc",[blank],"monofilament test, sensory - anglin",mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
"monofilament test, sensory - anglin",27.74,5501:cost of services related to medical cost,2022-09-13,2022-09-21,"le0050 innovacare central florida physicians, llc",corporate,"monofilament test, sensory - anglin",mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
"niulka colome-folgers classic medium roast coffee, 2-pack of 48 ounce cans",249.13,6325:office supplies,2022-08-23,2022-08-25,"le0033 west colonial physician group, llc",clinics operations & support_ofp84,"niulka colome-folgers classic medium roast coffee, 2-pack of 48 ounce cans",amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
"niulka colome-folgers classic medium roast coffee, 2-pack of 48 ounce cans",0.0,2100:accounts payable,2022-08-23,2022-08-25,"le0033 west colonial physician group, llc",[blank],"niulka colome-folgers classic medium roast coffee, 2-pack of 48 ounce cans",amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
additional coverage,0.0,2100:accounts payable,2022-06-01,2022-06-16,"le0020 orlando family physicians, llc",[blank],additional coverage,colonial life,"non clinical|human resources|medical, dental and life insurance",non clinical,human resources,"medical, dental and life insurance",classified_by_ai,"The supplier, Colonial Life & Accident Insurance Company, provides workplace benefits including life insurance, which aligns with the category for medical, dental, and life insurance. The transaction relates to additional coverage, indicating it falls under employee benefits, specifically insurance services."
"media - television, ooh, print",16374.05,6000:advertising,2023-01-23,2023-02-09,"le0053 trinity medical physicians services, llc",marketing_trinity,innovacare - media campaign - january 2023 (12/26/2022 - 1/29/2022),wow mktg,non clinical|marketing & print|agency fees,non clinical,marketing & print,agency fees,classified_by_ai,"All transactions are associated with WOW MKTG, a marketing agency providing services related to advertising and media campaigns. The descriptions and spend amounts align with the agency fees category, which encompasses marketing services provided by agencies."
ns cleaning serv - dec,8965.5,6600:repair & maintenance,2022-12-01,2022-11-28,"le0096 family care partners of northeast florida, llc",clinics operations & support,ns cleaning serv - dec,all clean facilities services llc,non clinical|facilities management and maintenance services|janitorial & cleaning services,non clinical,facilities management and maintenance services,janitorial & cleaning services,classified_by_ai,"Both transactions are from All Clean Services, LLC, a commercial cleaning company specializing in healthcare cleaning. The spend amount in Transaction 1 indicates a service provided, while Transaction 2 has a zero amount, likely indicating an adjustment or a pending transaction. The supplier's offerings align with the janitorial and cleaning services category."
ns cleaning serv - dec,0.0,2100:accounts payable,2022-12-01,2022-11-28,"le0096 family care partners of northeast florida, llc",[blank],ns cleaning serv - dec,all clean facilities services llc,non clinical|facilities management and maintenance services|janitorial & cleaning services,non clinical,facilities management and maintenance services,janitorial & cleaning services,classified_by_ai,"Both transactions are from All Clean Services, LLC, a commercial cleaning company specializing in healthcare cleaning. The spend amount in Transaction 1 indicates a service provided, while Transaction 2 has a zero amount, likely indicating an adjustment or a pending transaction. The supplier's offerings align with the janitorial and cleaning services category."
"janitorial supplies - trinity - winter haven 550 pope avenue winter haven, fl 33881-3051",1050.73,6600:repair & maintenance,2022-11-21,2022-11-22,"le0053 trinity medical physicians services, llc",clinics operations & support_trinity,"janitorial supplies - trinity - winter haven 550 pope avenue winter haven, fl 33881-3051",cintas corporation,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"The transactions involve purchases of lab coats, gowns, and janitorial supplies from Cintas Corporation, which specializes in uniforms and facility services. The classification aligns with the supplier's offerings and the nature of the items purchased, which are categorized under uniforms and janitorial supplies in the taxonomy."
"janitorial supplies - trinity - winter haven 550 pope avenue winter haven, fl 33881-3051",0.0,2100:accounts payable,2022-11-21,2022-11-22,"le0053 trinity medical physicians services, llc",[blank],"janitorial supplies - trinity - winter haven 550 pope avenue winter haven, fl 33881-3051",cintas corporation,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"The transactions involve purchases of lab coats, gowns, and janitorial supplies from Cintas Corporation, which specializes in uniforms and facility services. The classification aligns with the supplier's offerings and the nature of the items purchased, which are categorized under uniforms and janitorial supplies in the taxonomy."
lab fees owl now lakeland,0.0,2100:accounts payable,2022-07-01,2022-07-08,"le0053 trinity medical physicians services, llc",[blank],lab fees owl now lakeland,total compliance network inc,clinical|clinical services|laboratory services,clinical,clinical services,laboratory services,classified_by_ai,"The supplier, Total Compliance Network Inc, provides consulting services related to food safety, which does not align with the healthcare services context. However, the line descriptions indicate 'lab fees', which are typically associated with laboratory services in a healthcare setting. Therefore, both transactions are classified under laboratory services as they pertain to medical costs related to lab work."
lab fees owl now lakeland,911.0,5501:cost of services related to medical cost,2022-07-01,2022-07-08,"le0053 trinity medical physicians services, llc",executive offices_trinity,lab fees owl now lakeland,total compliance network inc,clinical|clinical services|laboratory services,clinical,clinical services,laboratory services,classified_by_ai,"The supplier, Total Compliance Network Inc, provides consulting services related to food safety, which does not align with the healthcare services context. However, the line descriptions indicate 'lab fees', which are typically associated with laboratory services in a healthcare setting. Therefore, both transactions are classified under laboratory services as they pertain to medical costs related to lab work."
february 2022 rent-family first unit a-revised,0.0,2100:accounts payable,2022-02-01,2022-01-21,le0095 family first medical physicians llc,[blank],february 2022 rent-family first unit a-revised,wjmz properties llc,non clinical|facilities management and maintenance services|rent and leases,non clinical,facilities management and maintenance services,rent and leases,classified_by_ai,"The supplier, MJZ Properties, is a real estate investment and property management firm, which aligns with the category for rental and lease services. The transactions are for rent payments related to a medical facility, confirming their classification under rent and leases."
february 2022 rent-family first unit a-revised,7003.15,6550:rent - base rent,2022-02-01,2022-01-21,le0095 family first medical physicians llc,clinics operations & support family first medical,february 2022 rent-family first unit a-revised,wjmz properties llc,non clinical|facilities management and maintenance services|rent and leases,non clinical,facilities management and maintenance services,rent and leases,classified_by_ai,"The supplier, MJZ Properties, is a real estate investment and property management firm, which aligns with the category for rental and lease services. The transactions are for rent payments related to a medical facility, confirming their classification under rent and leases."
february 2022 rent-family first unit a-revised,1596.85,6420:rent - misc expense,2022-02-01,2022-01-21,le0095 family first medical physicians llc,clinics operations & support family first medical,february 2022 rent-family first unit a-revised,wjmz properties llc,non clinical|facilities management and maintenance services|rent and leases,non clinical,facilities management and maintenance services,rent and leases,classified_by_ai,"The supplier, MJZ Properties, is a real estate investment and property management firm, which aligns with the category for rental and lease services. The transactions are for rent payments related to a medical facility, confirming their classification under rent and leases."
security ic,315.0,6450:professional fees,2022-01-18,2022-01-18,"le0096 family care partners of northeast florida, llc",clinics operations & support,security ic,jose a lumbag,non clinical|facilities management and maintenance services|security services,non clinical,facilities management and maintenance services,security services,classified_by_ai,"The supplier, Jose Aliling Construction Management Incorporated, is involved in construction management, which aligns with the security services category as it pertains to on-site security personnel and monitoring services. The line description 'security ic' suggests a focus on security services, and the cost center indicates operations support, further supporting this classification."
security ic,0.0,2100:accounts payable,2022-01-18,2022-01-18,"le0096 family care partners of northeast florida, llc",[blank],security ic,jose a lumbag,non clinical|facilities management and maintenance services|security services,non clinical,facilities management and maintenance services,security services,classified_by_ai,"The supplier, Jose Aliling Construction Management Incorporated, is involved in construction management, which aligns with the security services category as it pertains to on-site security personnel and monitoring services. The line description 'security ic' suggests a focus on security services, and the cost center indicates operations support, further supporting this classification."
office supplies,226.52,6325:office supplies,2022-03-05,2022-03-07,"le0039 poinciana physician group, llc",clinics operations & support_ofp90,office supplies,amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
office supplies,0.0,2100:accounts payable,2022-03-05,2022-03-07,"le0039 poinciana physician group, llc",[blank],office supplies,amazon.com,non clinical|general & administrative|office supplies & equipment,non clinical,general & administrative,office supplies & equipment,classified_by_ai,"The majority of transactions involve office supplies, which aligns with the category for office supplies and equipment. The zero or very small amounts indicate adjustments or accounts payable entries, which fall under non-sourceable categories."
"closure, skin reinf, irr sol str, compress, instant bluing",0.0,2100:accounts payable,2022-01-18,2022-01-28,"le0053 trinity medical physicians services, llc",[blank],"closure, skin reinf, irr sol str, compress, instant bluing",mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
"closure, skin reinf, irr sol str, compress, instant bluing",502.66,5501:cost of services related to medical cost,2022-01-18,2022-01-28,"le0053 trinity medical physicians services, llc",clinical services_trinity,"closure, skin reinf, irr sol str, compress, instant bluing",mckesson medical surgical,clinical|clinical supplies|clinical supplies other,clinical,clinical supplies,clinical supplies other,classified_by_ai,"All transactions involve purchases of medical supplies from McKesson Medical-Surgical, which aligns with the category for clinical supplies. The supplier's offerings and the descriptions of the items purchased (e.g., dexamethasone, medical supplies) confirm this classification."
